Var,Domain,Labels,Type,VariableName,SEQ,SEND_3_1,SEND_3_1_1,DART1_1,DART1_2
fw.USUBJID,fw,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
fw.POOLID,fw,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
fw.FWSEQ,fw,Sequence Number,Variable,FWSEQ,5,Y,Y,Y,
fw.FWGRPID,fw,Group Identifier,Variable,FWGRPID,6,Y,Y,Y,
fw.FWTESTCD,fw,Food/Water Consumption Short Name,Variable,FWTESTCD,7,Y,Y,Y,
fw.FWTEST,fw,Food/Water Consumption Name,Variable,FWTEST,8,Y,Y,Y,
fw.FWORRES,fw,Result or Findings as Collected,Variable,FWORRES,9,Y,Y,Y,
fw.fw,fw,Food and Water Consumption,Domain,,10,Y,Y,Y,
fw.FWORRESU,fw,Unit of the Original Result,Variable,FWORRESU,10,Y,Y,Y,
fw.FWSTRESC,fw,Standardized Result in Character Format,Variable,FWSTRESC,11,Y,Y,Y,
fw.FWSTRESN,fw,Standardized Result in Numeric Format,Variable,FWSTRESN,12,Y,Y,Y,
fw.FWSTRESU,fw,Unit of the Standardized Result,Variable,FWSTRESU,13,Y,Y,Y,
fw.FWSTAT,fw,Completion Status,Variable,FWSTAT,14,Y,Y,Y,
fw.FWREASND,fw,Reason Not Done,Variable,FWREASND,15,Y,Y,Y,
fw.FWEXCLFL,fw,Exclusion Flag,Variable,FWEXCLFL,16,Y,Y,Y,
fw.FWREASEX,fw,Reason for Exclusion,Variable,FWREASEX,17,Y,Y,Y,
fw.FWDTC,fw,Start Date/Time of Observation,Variable,FWDTC,18,Y,Y,Y,
fw.FWENDTC,fw,End Date/Time of Observation,Variable,FWENDTC,19,Y,Y,Y,
fw.FWDY,fw,Study Day of Start of Observation,Variable,FWDY,20,Y,Y,Y,
fw.FWENDY,fw,Study Day of End of Observation,Variable,FWENDY,21,Y,Y,Y,
fw.RPHASE,fw,Repro Phase,Variable,RPHASE,22,,,Y,
fw.RPPLDY,fw,Planned Repro Phase Day of Observation,Variable,RPPLDY,23,,,Y,
fw.RPPLENDY,fw,Planned Repro Phase Day of Obs End,Variable,RPPLENDY,24,,,Y,
fw.FWRPDY,fw,Actual Repro Phase Day of Observation,Variable,FWRPDY,25,,,Y,
fw.FWRPENDY,fw,Actual Repro Phase Day of Obs End,Variable,FWRPENDY,26,,,Y,
fx.STUDYID,fx,Study Identifier,Variable,STUDYID,1,,,Y,
fx.DOMAIN,fx,Domain Abbreviation,Variable,DOMAIN,2,,,Y,
fx.USUBJID,fx,Unique Subject Identifier,Variable,USUBJID,3,,,Y,
fx.FETUSID,fx,Unique Fetus Identifier,Variable,FETUSID,4,,,Y,
fx.FXSEQ,fx,Sequence Number,Variable,FXSEQ,5,,,Y,
fx.FXGRPID,fx,Group Identifier,Variable,FXGRPID,6,,,Y,
fx.FXREFID,fx,Reference ID,Variable,FXREFID,7,,,Y,
fx.FXTESTCD,fx,Test Short Name,Variable,FXTESTCD,8,,,Y,
fx.FXTEST,fx,Fetal Exam Name,Variable,FXTEST,9,,,Y,
fx.FXORRES,fx,Result or Findings as Collected,Variable,FXORRES,10,,,Y,
fx.FXSTRESC,fx,Standardized Results in Character Format,Variable,FXSTRESC,11,,,Y,
fx.FXRESCAT,fx,Result Category,Variable,FXRESCAT,12,,,Y,
fx.FXDISTR,fx,Distribution Pattern of Finding,Variable,FXDISTR,13,,,Y,
fx.FXRESLOC,fx,Result Location of Finding,Variable,FXRESLOC,14,,,Y,
fx.FXSTAT,fx,Completion Status,Variable,FXSTAT,15,,,Y,
fx.FXREASND,fx,Reason Not Done,Variable,FXREASND,16,,,Y,
fx.FXANTREG,fx,Anatomical Region,Variable,FXANTREG,17,,,Y,
fx.FXLOC,fx,Location Used for the Measurement,Variable,FXLOC,18,,,Y,
fx.FXLAT,fx,Laterality,Variable,FXLAT,19,,,Y,
fx.FXMETHOD,fx,Method of Test or Examination,Variable,FXMETHOD,20,,,Y,
fx.FXSEV,fx,Severity,Variable,FXSEV,21,,,Y,
fx.RPHASE,fx,Reproductive Phase,Variable,RPHASE,22,,,Y,
fx.RPPLDY,fx,Planned Phase Day,Variable,RPPLDY,23,,,Y,
fx.FXDTC,fx,Date/Time,Variable,FXDTC,24,,,Y,
fx.FXDY,fx,Study Day,Variable,FXDY,25,,,Y,
fx.FXRPDY,fx,Actual Phase Day,Variable,FXRPDY,26,,,Y,
fx.fx,fx,Fetal Pathology Findings,Domain,,40,,,Y,
ic.STUDYID,ic,Study Identifier,Variable,STUDYID,1,,,Y,
ic.DOMAIN,ic,Domain Abbreviation,Variable,DOMAIN,2,,,Y,
ic.USUBJID,ic,Unique Subject Identifier,Variable,USUBJID,3,,,Y,
ic.FETUSID,ic,Unique Fetus Identifier,Variable,FETUSID,4,,,Y,
ic.ICSEQ,ic,Sequence Number,Variable,ICSEQ,5,,,Y,
ic.ICTESTCD,ic,Test Short Name,Variable,ICTESTCD,6,,,Y,
ic.ICTESTCD,ic,Implantation Exam Name,Variable,ICTESTCD,7,,,Y,
ic.ICORRES,ic,Result or Findings as Collected,Variable,ICORRES,8,,,Y,
ic.ICSTRESC,ic,Standardized Results in Character Format,Variable,ICSTRESC,9,,,Y,
ic.ICIMPLBL,ic,Implantation Site Label,Variable,ICIMPLBL,10,,,Y,
ic.ICRESCAT,ic,Result Category,Variable,ICRESCAT,11,,,Y,
ic.ICRESLOC,ic,Result Location of Finding,Variable,ICRESLOC,12,,,Y,
ic.ICSTAT,ic,Completion Status,Variable,ICSTAT,13,,,Y,
ic.ICREASND,ic,Reason Not Done,Variable,ICREASND,14,,,Y,
ic.ICSPEC,ic,Specimen Material Type,Variable,ICSPEC,15,,,Y,
ic.RPHASE,ic,Repro Phase,Variable,RPHASE,16,,,Y,
ic.RPPLDY,ic,Planned Repro Phase Day of Observation,Variable,RPPLDY,17,,,Y,
ic.ICDTC,ic,Date/Time,Variable,ICDTC,18,,,Y,
ic.ICDY,ic,Study Day,Variable,ICDY,19,,,Y,
ic.ICRPDY,ic,Actual Repro Phase Day of Observation,Variable,ICRPDY,20,,,Y,
ic.ic,ic,Implantation Classification,Domain,,39,,,Y,
lb.STUDYID,lb,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
lb.DOMAIN,lb,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
lb.USUBJID,lb,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
lb.POOLID,lb,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
lb.LBSEQ,lb,Sequence Number,Variable,LBSEQ,5,Y,Y,Y,
lb.LBGRPID,lb,Group Identifier,Variable,LBGRPID,6,Y,Y,Y,
lb.LBREFID,lb,Specimen Identifier,Variable,LBREFID,7,Y,Y,Y,
lb.LBSPID,lb,Sponsor-Defined Identifier,Variable,LBSPID,8,Y,Y,Y,
lb.LBTESTCD,lb,Lab Test or Examination Short Name,Variable,LBTESTCD,9,Y,Y,Y,
lb.LBTEST,lb,Lab Test or Examination Name,Variable,LBTEST,10,Y,Y,Y,
lb.lb,lb,Laboratory Test Results,Domain,,11,Y,Y,Y,
lb.LBCAT,lb,Category for Lab Test,Variable,LBCAT,11,Y,Y,Y,
lb.LBSCAT,lb,Subcategory for Lab Test,Variable,LBSCAT,12,Y,Y,Y,
lb.LBORRES,lb,Result or Findings as Collected,Variable,LBORRES,13,Y,Y,Y,
lb.LBORRESU,lb,Unit of the Original Result,Variable,LBORRESU,14,Y,Y,Y,
lb.LBORNRLO,lb,Reference Range Lower Limit-Orig Unit,Variable,LBORNRLO,15,Y,Y,Y,
lb.LBORNRHI,lb,Reference Range Upper Limit-Orig Unit,Variable,LBORNRHI,16,Y,Y,Y,
lb.LBSTRESC,lb,Standardized Result in Character Format,Variable,LBSTRESC,17,Y,Y,Y,
lb.LBSTRESN,lb,Standardized Result in Numeric Format,Variable,LBSTRESN,18,Y,Y,Y,
lb.LBSTRESU,lb,Unit of the Standardized Result,Variable,LBSTRESU,19,Y,Y,Y,
lb.LBSTNRLO,lb,Reference Range Lower Limit-Std Unit,Variable,LBSTNRLO,20,Y,Y,Y,
lb.LBSTNRHI,lb,Reference Range Upper Limit-Std Unit,Variable,LBSTNRHI,21,Y,Y,Y,
lb.LBSTNRC,lb,Reference Range for Char Rslt-Std Unit,Variable,LBSTNRC,22,Y,Y,Y,
lb.LBNRIND,lb,Reference Range Indicator,Variable,LBNRIND,23,Y,Y,Y,
lb.LBSTAT,lb,Completion Status,Variable,LBSTAT,24,Y,Y,Y,
lb.LBREASND,lb,Reason Not Done,Variable,LBREASND,25,Y,Y,Y,
lb.LBNAM,lb,Laboratory Name,Variable,LBNAM,26,Y,Y,Y,
lb.LBSPEC,lb,Specimen Material Type,Variable,LBSPEC,27,Y,Y,Y,
lb.LBANTREG,lb,Anatomical Region of Specimen,Variable,LBANTREG,28,Y,Y,Y,
lb.LBSPCCND,lb,Specimen Condition,Variable,LBSPCCND,29,Y,Y,Y,
lb.LBSPCUFL,lb,Specimen Usability for the Test,Variable,LBSPCUFL,30,Y,Y,Y,
lb.LBLOC,lb,Specimen Collection Location,Variable,LBLOC,31,Y,Y,Y,
lb.LBLAT,lb,Specimen Laterality within Subject,Variable,LBLAT,32,Y,Y,Y,
lb.LBDIR,lb,Specimen Directionality within Subject,Variable,LBDIR,33,Y,Y,Y,
lb.LBPORTOT,lb,Portion or Totality,Variable,LBPORTOT,34,Y,Y,Y,
lb.LBMETHOD,lb,Method of Test or Examination,Variable,LBMETHOD,35,Y,Y,Y,
lb.LBBLFL,lb,Baseline Flag,Variable,LBBLFL,36,Y,Y,Y,
lb.LBFAST,lb,Fasting Status,Variable,LBFAST,37,Y,Y,Y,
lb.LBDRVFL,lb,Derived Flag,Variable,LBDRVFL,38,Y,Y,Y,
lb.LBTOX,lb,Toxicity,Variable,LBTOX,39,Y,Y,Y,
lb.LBTOXGR,lb,Standard Toxicity Grade,Variable,LBTOXGR,40,Y,Y,Y,
lb.LBEXCLFL,lb,Exclusion Flag,Variable,LBEXCLFL,41,Y,Y,Y,
lb.LBREASEX,lb,Reason for Exclusion,Variable,LBREASEX,42,Y,Y,Y,
lb.LBUSCHFL,lb,Unscheduled Flag,Variable,LBUSCHFL,43,Y,Y,Y,
lb.VISITDY,lb,Planned Study Day of Collection,Variable,VISITDY,44,Y,Y,Y,
lb.LBDTC,lb,Date/Time of Specimen Collection,Variable,LBDTC,45,Y,Y,Y,
lb.LBENDTC,lb,End Date/Time of Specimen Collection,Variable,LBENDTC,46,Y,Y,Y,
lb.LBDY,lb,Study Day of Specimen Collection,Variable,LBDY,47,Y,Y,Y,
lb.LBENDY,lb,Study Day of End of Specimen Collection,Variable,LBENDY,48,Y,Y,Y,
lb.LBNOMDY,lb,Nominal Study Day for Tabulations,Variable,LBNOMDY,49,Y,Y,Y,
lb.LBNOMLBL,lb,Label for Nominal Study Day,Variable,LBNOMLBL,50,Y,Y,Y,
lb.LBTPT,lb,Planned Time Point Name,Variable,LBTPT,51,Y,Y,Y,
lb.LBTPTNUM,lb,Planned Time Point Number,Variable,LBTPTNUM,52,Y,Y,Y,
lb.LBELTM,lb,Planned Elapsed Time from Time Point Ref,Variable,LBELTM,53,Y,Y,Y,
lb.LBTPTREF,lb,Time Point Reference,Variable,LBTPTREF,54,Y,Y,Y,
lb.LBRFTDTC,lb,Date/Time of Reference Time Point,Variable,LBRFTDTC,55,Y,Y,Y,
lb.RPHASE,lb,Repro Phase,Variable,RPHASE,56,,,Y,
lb.RPPLDY,lb,Planned Repro Phase Day of Observation,Variable,RPPLDY,57,,,Y,
lb.RPPLENDY,lb,Planned Repro Phase Day of Obs End,Variable,RPPLENDY,58,,,Y,
lb.CLRPDY,lb,Actual Repro Phase Day of Observation,Variable,CLRPDY,59,,,Y,
lb.CLRPENDY,lb,Actual Repro Phase Day of Obs End,Variable,CLRPENDY,60,,,Y,
ma.STUDYID,ma,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
ma.DOMAIN,ma,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
ma.USUBJID,ma,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
ma.FOCID,ma,Focus of Study- Specific Interest,Variable,FOCID,4,Y,Y,Y,
ma.MASEQ,ma,Sequence Number,Variable,MASEQ,5,Y,Y,Y,
ma.MAGRPID,ma,Group Identifier,Variable,MAGRPID,6,Y,Y,Y,
ma.MAREFID,ma,Specimen Reference Identifier,Variable,MAREFID,7,Y,Y,Y,
ma.MASPID,ma,Mass Identifier,Variable,MASPID,8,Y,Y,Y,
ma.MATESTCD,ma,Macroscopic Examination Short Name,Variable,MATESTCD,9,Y,Y,Y,
ma.MATEST,ma,Macroscopic Examination Name,Variable,MATEST,10,Y,Y,Y,
ma.MABODSYS,ma,Body System or Organ Class,Variable,MABODSYS,11,Y,Y,Y,
ma.ma,ma,Macroscopic Findings,Domain,,12,Y,Y,Y,
ma.MAORRES,ma,Result or Findings as Collected,Variable,MAORRES,12,Y,Y,Y,
ma.MASTRESC,ma,Standardized Result in Character Format,Variable,MASTRESC,13,Y,Y,Y,
ma.MASTAT,ma,Completion Status,Variable,MASTAT,14,Y,Y,Y,
ma.MAREASND,ma,Reason Not Done,Variable,MAREASND,15,Y,Y,Y,
ma.MANAM,ma,Laboratory Name,Variable,MANAM,16,Y,Y,Y,
ma.MASPEC,ma,Specimen Material Type,Variable,MASPEC,17,Y,Y,Y,
ma.MAANTREG,ma,Anatomical Region of Specimen,Variable,MAANTREG,18,Y,Y,Y,
ma.MASPCCND,ma,Specimen Condition,Variable,MASPCCND,19,Y,Y,Y,
ma.MASPCUFL,ma,Specimen Usability for the Test,Variable,MASPCUFL,20,Y,Y,Y,
ma.MALAT,ma,Specimen Laterality within Subject,Variable,MALAT,21,Y,Y,Y,
ma.MADIR,ma,Specimen Directionality within Subject,Variable,MADIR,22,Y,Y,Y,
ma.MAPORTOT,ma,Portion or Totality,Variable,MAPORTOT,23,Y,Y,Y,
ma.MAEVAL,ma,Evaluator,Variable,MAEVAL,24,Y,Y,Y,
ma.MASEV,ma,Severity,Variable,MASEV,25,Y,Y,Y,
ma.MADTHREL,ma,Relationship to Death,Variable,MADTHREL,26,Y,Y,Y,
ma.MADTC,ma,Date/Time,Variable,MADTC,27,Y,Y,Y,
ma.MADY,ma,Study Day,Variable,MADY,28,Y,Y,Y,
ma.RPHASE,ma,Repro Phase,Variable,RPHASE,29,,,Y,
ma.RPPLDY,ma,Planned Repro Phase Day of Observation,Variable,RPPLDY,30,,,Y,
ma.MARPDY,ma,Actual Repro Phase Day of Observation,Variable,MARPDY,31,,,Y,
mi.STUDYID,mi,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
mi.DOMAIN,mi,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
mi.USUBJID,mi,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
mi.FOCID,mi,Focus of Study- Specific Interest,Variable,FOCID,4,Y,Y,Y,
mi.MISEQ,mi,Sequence Number,Variable,MISEQ,5,Y,Y,Y,
mi.MIGRPID,mi,Group Identifier,Variable,MIGRPID,6,Y,Y,Y,
mi.MIREFID,mi,Specimen Reference Identifier,Variable,MIREFID,7,Y,Y,Y,
mi.MISPID,mi,Mass Identifier,Variable,MISPID,8,Y,Y,Y,
mi.MITESTCD,mi,Microscopic Examination Short Name,Variable,MITESTCD,9,Y,Y,Y,
mi.MITEST,mi,Microscopic Examination Name,Variable,MITEST,10,Y,Y,Y,
mi.MIBODSYS,mi,Body System or Organ Class,Variable,MIBODSYS,11,Y,Y,Y,
mi.MIORRES,mi,Result or Findings as Collected,Variable,MIORRES,12,Y,Y,Y,
mi.mi,mi,Microscopic Findings,Domain,,13,Y,Y,Y,
mi.MISTRESC,mi,Standardized Result in Character Format,Variable,MISTRESC,13,Y,Y,Y,
mi.MIRESCAT,mi,Result Category,Variable,MIRESCAT,14,Y,Y,Y,
mi.MICHRON,mi,Chronicity of Finding,Variable,MICHRON,15,Y,Y,Y,
mi.MIDISTR,mi,Distribution Pattern of Finding,Variable,MIDISTR,16,Y,Y,Y,
mi.MISTAT,mi,Completion Status,Variable,MISTAT,17,Y,Y,Y,
mi.MIREASND,mi,Reason Not Done,Variable,MIREASND,18,Y,Y,Y,
mi.MINAM,mi,Laboratory Name,Variable,MINAM,19,Y,Y,Y,
mi.MISPEC,mi,Specimen Material Type,Variable,MISPEC,20,Y,Y,Y,
mi.MIANTREG,mi,Anatomical Region of Specimen,Variable,MIANTREG,21,Y,Y,Y,
mi.MISPCCND,mi,Specimen Condition,Variable,MISPCCND,22,Y,Y,Y,
mi.MISPCUFL,mi,Specimen Usability for the Test,Variable,MISPCUFL,23,Y,Y,Y,
mi.MILAT,mi,Specimen Laterality within Subject,Variable,MILAT,24,Y,Y,Y,
mi.MIDIR,mi,Specimen Directionality within Subject,Variable,MIDIR,25,Y,Y,Y,
mi.MIMETHOD,mi,Method of Test or Examination,Variable,MIMETHOD,26,Y,Y,Y,
mi.MIEVAL,mi,Evaluator,Variable,MIEVAL,27,Y,Y,Y,
mi.MISEV,mi,Severity,Variable,MISEV,28,Y,Y,Y,
mi.MIDTHREL,mi,Relationship to Death,Variable,MIDTHREL,29,Y,Y,Y,
mi.MIDTC,mi,Date/Time,Variable,MIDTC,30,Y,Y,Y,
mi.MIDY,mi,Study Day,Variable,MIDY,31,Y,Y,Y,
mi.RPHASE,mi,Repro Phase,Variable,RPHASE,32,,,Y,
mi.MIRPDY,mi,Actual Repro Phase Day of Observation,Variable,MIRPDY,33,,,Y,
om.STUDYID,om,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
om.DOMAIN,om,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
om.USUBJID,om,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
om.OMSEQ,om,Sequence Number,Variable,OMSEQ,4,Y,Y,Y,
om.OMTESTCD,om,Test Short Name,Variable,OMTESTCD,5,Y,Y,Y,
om.OMTEST,om,Test Name,Variable,OMTEST,6,Y,Y,Y,
om.OMORRES,om,Result or Findings as Collected,Variable,OMORRES,7,Y,Y,Y,
om.OMORRESU,om,Unit of the Original Result,Variable,OMORRESU,8,Y,Y,Y,
om.OMSTRESC,om,Standardized Result in Character Format,Variable,OMSTRESC,9,Y,Y,Y,
om.OMSTRESN,om,Standardized Result in Numeric Format,Variable,OMSTRESN,10,Y,Y,Y,
om.OMSTRESU,om,Unit of the Standardized Result,Variable,OMSTRESU,11,Y,Y,Y,
om.OMSTAT,om,Completion Status,Variable,OMSTAT,12,Y,Y,Y,
om.OMREASND,om,Reason Not Done,Variable,OMREASND,13,Y,Y,Y,
om.om,om,Organ Measurements,Domain,,14,Y,Y,Y,
om.OMSPEC,om,Specimen Material Type,Variable,OMSPEC,14,Y,Y,Y,
om.OMANTREG,om,Anatomical Region of Specimen,Variable,OMANTREG,15,Y,Y,Y,
om.OMSPCCND,om,Specimen Condition,Variable,OMSPCCND,16,Y,Y,Y,
om.OMSPCUFL,om,Specimen Usability for the Test,Variable,OMSPCUFL,17,Y,Y,Y,
om.OMLAT,om,Specimen Laterality within Subject,Variable,OMLAT,18,Y,Y,Y,
om.OMDIR,om,Specimen Directionality within Subject,Variable,OMDIR,19,Y,Y,Y,
om.OMPORTOT,om,Portion or Totality,Variable,OMPORTOT,20,Y,Y,Y,
om.OMEXCLFL,om,Exclusion Flag,Variable,OMEXCLFL,21,Y,Y,Y,
om.OMREASEX,om,Reason for Exclusion,Variable,OMREASEX,22,Y,Y,Y,
om.OMDTC,om,Date/Time Organ Measured,Variable,OMDTC,23,Y,Y,Y,
om.OMDY,om,Study Day of Measurement,Variable,OMDY,24,Y,Y,Y,
om.OMNOMDY,om,Nominal Study Day for Tabulations,Variable,OMNOMDY,25,Y,Y,Y,
om.OMNOMLBL,om,Label for Nominal Study Day,Variable,OMNOMLBL,26,Y,Y,Y,
om.RPHASE,om,Repro Phase,Variable,RPHASE,27,,,Y,
om.RPPLDY,om,Planned Repro Phase Day of Observation,Variable,RPPLDY,28,,,Y,
om.OMRPDY,om,Actual Repro Phase Day of Observation,Variable,OMRPDY,29,,,Y,
pc.STUDYID,pc,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
pc.DOMAIN,pc,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
pc.USUBJID,pc,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
pc.POOLID,pc,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
pc.PCSEQ,pc,Sequence Number,Variable,PCSEQ,5,Y,Y,Y,
pc.PCGRPID,pc,Group Identifier,Variable,PCGRPID,6,Y,Y,Y,
pc.PCREFID,pc,Sample Identifier,Variable,PCREFID,7,Y,Y,Y,
pc.PCSPID,pc,Sponsor-Defined Identifier,Variable,PCSPID,8,Y,Y,Y,
pc.PCTESTCD,pc,Test Short Name,Variable,PCTESTCD,9,Y,Y,Y,
pc.PCTEST,pc,Test Name,Variable,PCTEST,10,Y,Y,Y,
pc.PCCAT,pc,Test Category,Variable,PCCAT,11,Y,Y,Y,
pc.PCSCAT,pc,Test Subcategory,Variable,PCSCAT,12,Y,Y,Y,
pc.PCORRES,pc,Result or Findings as Collected,Variable,PCORRES,13,Y,Y,Y,
pc.PCORRESU,pc,Unit of the Original Result,Variable,PCORRESU,14,Y,Y,Y,
pc.PCSTRESC,pc,Standardized Result in Character Format,Variable,PCSTRESC,15,Y,Y,Y,
pc.pc,pc,Pharmacokinetics Concentrations,Domain,,16,Y,Y,Y,
pc.PCSTRESN,pc,Standardized Result in Numeric Format,Variable,PCSTRESN,16,Y,Y,Y,
pc.PCSTRESU,pc,Unit of the Standardized Result,Variable,PCSTRESU,17,Y,Y,Y,
pc.PCSTAT,pc,Completion Status,Variable,PCSTAT,18,Y,Y,Y,
pc.PCREASND,pc,Reason Not Done,Variable,PCREASND,19,Y,Y,Y,
pc.PCNAM,pc,Laboratory Name,Variable,PCNAM,20,Y,Y,Y,
pc.PCSPEC,pc,Specimen Material Type,Variable,PCSPEC,21,Y,Y,Y,
pc.PCSPCCND,pc,Specimen Condition,Variable,PCSPCCND,22,Y,Y,Y,
pc.PCSPCUFL,pc,Specimen Usability for the Test,Variable,PCSPCUFL,23,Y,Y,Y,
pc.PCMETHOD,pc,Method of Test or Examination,Variable,PCMETHOD,24,Y,Y,Y,
pc.PCBLFL,pc,Baseline Flag,Variable,PCBLFL,25,Y,Y,Y,
pc.PCFAST,pc,Fasting Status,Variable,PCFAST,26,Y,Y,Y,
pc.PCDRVFL,pc,Derived Flag,Variable,PCDRVFL,27,Y,Y,Y,
pc.PCLLOQ,pc,Lower Limit of Quantitation,Variable,PCLLOQ,28,Y,Y,Y,
pc.PCEXCLFL,pc,Exclusion Flag,Variable,PCEXCLFL,29,Y,Y,Y,
pc.PCREASEX,pc,Reason for Exclusion,Variable,PCREASEX,30,Y,Y,Y,
pc.VISITDY,pc,Planned Study Day of Collection,Variable,VISITDY,31,Y,Y,Y,
pc.PCDTC,pc,Date/Time of Specimen Collection,Variable,PCDTC,32,Y,Y,Y,
pc.PCENDTC,pc,End Date/Time of Specimen Collection,Variable,PCENDTC,33,Y,Y,Y,
pc.PCDY,pc,Study Day of Specimen Collection,Variable,PCDY,34,Y,Y,Y,
pc.PCENDY,pc,Study Day of End of Specimen Collection,Variable,PCENDY,35,Y,Y,Y,
pc.PCNOMDY,pc,Nominal Study Day for Tabulations,Variable,PCNOMDY,36,Y,Y,Y,
pc.PCNOMLBL,pc,Label for Nominal Study Day,Variable,PCNOMLBL,37,Y,Y,Y,
pc.PCTPT,pc,Planned Time Point Name,Variable,PCTPT,38,Y,Y,Y,
pc.PCTPTNUM,pc,Planned Time Point Number,Variable,PCTPTNUM,39,Y,Y,Y,
pc.PCELTM,pc,Planned Elapsed Time from Time Point Ref,Variable,PCELTM,40,Y,Y,Y,
pc.PCTPTREF,pc,Time Point Reference,Variable,PCTPTREF,41,Y,Y,Y,
pc.PCRFTDTC,pc,Date/Time of  Reference Point,Variable,PCRFTDTC,42,Y,Y,Y,
pc.PCEVLINT,pc,Evaluation Interval,Variable,PCEVLINT,43,Y,Y,Y,
pc.RPHASE,pc,Repro Phase,Variable,RPHASE,44,,,Y,
pc.RPPLDY,pc,Planned Repro Phase Day of Observation,Variable,RPPLDY,45,,,Y,
pc.RPPLENDY,pc,Planned Repro Phase Day of Obs End,Variable,RPPLENDY,46,,,Y,
pc.LBRPDY,pc,Actual Repro Phase Day of Observation,Variable,LBRPDY,47,,,Y,
pc.LBRPENDY,pc,Actual Repro Phase Day of Obs End,Variable,LBRPENDY,48,,,Y,
pm.STUDYID,pm,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
pm.DOMAIN,pm,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
pm.USUBJID,pm,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
pm.PMSEQ,pm,Sequence Number,Variable,PMSEQ,4,Y,Y,Y,
pm.PMGRPID,pm,Group Identifier,Variable,PMGRPID,5,Y,Y,Y,
pm.PMSPID,pm,Mass Identifier,Variable,PMSPID,6,Y,Y,Y,
pm.PMTESTCD,pm,Test Short Name,Variable,PMTESTCD,7,Y,Y,Y,
pm.PMTEST,pm,Test Name,Variable,PMTEST,8,Y,Y,Y,
pm.PMORRES,pm,Result or Findings as Collected,Variable,PMORRES,9,Y,Y,Y,
pm.PMORRESU,pm,Unit of the Original Result,Variable,PMORRESU,10,Y,Y,Y,
pm.PMSTRESC,pm,Standardized Result in Character Format,Variable,PMSTRESC,11,Y,Y,Y,
pm.PMSTRESN,pm,Standardized Result in Numeric Format,Variable,PMSTRESN,12,Y,Y,Y,
pm.PMSTRESU,pm,Unit of the Standardized Result,Variable,PMSTRESU,13,Y,Y,Y,
pm.PMSTAT,pm,Completion Status,Variable,PMSTAT,14,Y,Y,Y,
pm.pm,pm,Palpable Masses,Domain,,15,Y,Y,Y,
pm.PMREASND,pm,Reason Not Done,Variable,PMREASND,15,Y,Y,Y,
pm.PMLOC,pm,Location of a Finding,Variable,PMLOC,16,Y,Y,Y,
pm.PMEVAL,pm,Evaluator,Variable,PMEVAL,17,Y,Y,Y,
pm.PMUSCHFL,pm,Unscheduled Flag,Variable,PMUSCHFL,18,Y,Y,Y,
pm.VISITDY,pm,Planned Study Day of Collection,Variable,VISITDY,19,Y,Y,Y,
pm.PMDTC,pm,Date/Time of Observation,Variable,PMDTC,20,Y,Y,Y,
pm.PMDY,pm,Study Day of Observation,Variable,PMDY,21,Y,Y,Y,
pm.PMNOMDY,pm,Nominal Study Day for Tabulations,Variable,PMNOMDY,22,Y,Y,Y,
pm.PMNOMLBL,pm,Label for Nominal Study Day,Variable,PMNOMLBL,23,Y,Y,Y,
pooldef.STUDYID,pooldef,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
pooldef.POOLID,pooldef,Pool Identifier,Variable,POOLID,2,Y,Y,Y,
pooldef.USUBJID,pooldef,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
pooldef.pooldef,pooldef,Pool Definition,Domain,,34,Y,Y,Y,
pp.STUDYID,pp,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
pp.DOMAIN,pp,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
pp.USUBJID,pp,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
pp.POOLID,pp,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
pp.PPSEQ,pp,Sequence Number,Variable,PPSEQ,5,Y,Y,Y,
pp.PPGRPID,pp,Group Identifier,Variable,PPGRPID,6,Y,Y,Y,
